Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-TumorPatient.json	5452	3	0	25	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	338	955	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-bemerkung-freitext.json	907	2	0	10	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	207	292	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-ct-mrt-abdomen.json	1502	2	0	30	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	197	626	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ct-mrt-schaedel.json	1508	10	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	196	334	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ct-mrt-thorax.json	1260	2	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	185	347	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ecog.json	2347	2	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	202	542	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ekg.json	1155	2	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	194	405	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-externe-bilder.json	1253	2	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	184	399	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-familienanamnese-drop-down.json	1265	3	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	185	378	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-fragestellung-pathologie-freitext.json	1004	2	0	10	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	216	321	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-fragestellung-radiologie-freitext.json	1004	2	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	309	439	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fragestellung-tumorkonferenz-freitext.json	1026	2	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	290	347	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-gewuenschte-teilnehmer.json	1337	2	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	255	421	0	1	0	8	0	0
fsh-generated/resources/StructureDefinition-histologische-typisierung-lunge.json	1344	2	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	199	278	0	0	0	20	0	0
fsh-generated/resources/StructureDefinition-lungenfunktionstest.json	1536	2	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	208	596	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-medikamentoese-therapie-freitext.json	997	2	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	189	487	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-pet-ct.json	1454	6	0	26	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	204	722	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-praxis-pathologisches-institut-freitext.json	1056	37	0	21	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	184	399	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-psa-verlauf-freitext.json	925	67	0	16	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	183	472	0	0	0	7	0	0
