URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.de/ValueSet/identifier-type-de-basis,1.5.0,active,,IdentifierTypeDeBasis,Identifier Type DeBasis ValueSet,"ValueSet zur Codierung des Identifier-Typs","StructureDefinition/TumorPatient","THO (V2),de.basisprofil.r4"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","THO"
http://hl7.org/fhir/ValueSet/diagnosis-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.49",DiagnosisRole,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/tumorErkrankung","THO"
http://hl7.org/fhir/ValueSet/episode-of-care-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.664",EpisodeOfCareStatus,EpisodeOfCareStatus,"The status of the episode of care.","StructureDefinition/tumorErkrankung","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/episodeofcare-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.666",EpisodeOfCareType,Episode of care type,"This example value set defines a set of codes that can be used to express the usage type of an EpisodeOfCare record.","StructureDefinition/tumorErkrankung","THO"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/AnmeldeBundleMinimalFreitextProstata,StructureDefinition/AnmeldeBundleMinimalFreitextLunge","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/TumorPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/iso3166-1-2,4.0.1,active,,Iso3166-1-2,Iso 3166 Part 1: 2 Letter Codes,"This value set defines the ISO 3166 Part 1 2-letter codes","StructureDefinition/TumorPatient","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/externe-bilder,StructureDefinition/bemerkung-freitext,StructureDefinition/tumorsituation,StructureDefinition/Anmelder,StructureDefinition/medikamentoese-therapie-freitext,StructureDefinition/Nebendiagnose,StructureDefinition/ekg,StructureDefinition/praxis-pathologisches-institut-freitext,StructureDefinition/FertilitaetsBehandlungEmpfohlen,StructureDefinition/radiologie-bilder-freitext,StructureDefinition/MinimalObservation,StructureDefinition/weitere-gewuenschte-teilnehmer-freitext,StructureDefinition/ct-mrt-abdomen,StructureDefinition/DiagnoseLungenTumorMinimal,StructureDefinition/fragestellung-radiologie-freitext,StructureDefinition/tumorErkrankung,StructureDefinition/gewuenschte-teilnehmer,StructureDefinition/psa-verlauf-freitext,StructureDefinition/ecog,StructureDefinition/OperativeTherapieFreitext,StructureDefinition/fragestellung-tumorkonferenz-freitext,StructureDefinition/AnmeldeBundleMinimalFreitextLunge,StructureDefinition/tumor-board-anmeldung,StructureDefinition/familienanamnese-drop-down,StructureDefinition/skelettszintigraphie,StructureDefinition/relevante-nebendiagnosen-freitext,StructureDefinition/pet-ct,StructureDefinition/histologische-typisierung-lunge,StructureDefinition/TNMFreitext,StructureDefinition/TumorPatient,StructureDefinition/HistologieMolPatFreitext,StructureDefinition/fragestellung-pathologie-freitext,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest,StructureDefinition/AnmeldeBundleMinimalFreitextProstata,StructureDefinition/FreitextObservation,StructureDefinition/ct-mrt-thorax,StructureDefinition/StrahlenTherapieFreitext,StructureDefinition/Erstdiagnose,StructureDefinition/verlauf-freitext,StructureDefinition/DiagnoseFreitext","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/TumorPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/DiagnoseLungenTumorMinimal,StructureDefinition/Nebendiagnose","SCT"
